category,item_name,serving_size_g,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,carbohydrates_g,dietary_fiber_g,sugars_g,protein_g,category_clean,chain
Breakfast,Egg McMuffin,4.8 oz (136 g),300,13.0,5.0,0.0,260,750,31,4,3,17,breakfast,mcdonalds
Breakfast,Egg White Delight,4.8 oz (135 g),250,8.0,3.0,0.0,25,770,30,4,3,18,breakfast,mcdonalds
Breakfast,Sausage McMuffin,3.9 oz (111 g),370,23.0,8.0,0.0,45,780,29,4,2,14,breakfast,mcdonalds
Breakfast,Sausage McMuffin with Egg,5.7 oz (161 g),450,28.0,10.0,0.0,285,860,30,4,2,21,breakfast,mcdonalds
Breakfast,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400,23.0,8.0,0.0,50,880,30,4,2,21,breakfast,mcdonalds
Breakfast,Steak & Egg McMuffin,6.5 oz (185 g),430,23.0,9.0,1.0,300,960,31,4,3,26,breakfast,mcdonalds
Breakfast,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460,26.0,13.0,0.0,250,1300,38,2,3,19,breakfast,mcdonalds
Breakfast,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520,30.0,14.0,0.0,250,1410,43,3,4,19,breakfast,mcdonalds
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410,20.0,11.0,0.0,35,1300,36,2,3,20,breakfast,mcdonalds
Breakfast,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470,25.0,12.0,0.0,35,1420,42,3,4,20,breakfast,mcdonalds
Breakfast,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430,27.0,12.0,0.0,30,1080,34,2,2,11,breakfast,mcdonalds
Breakfast,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480,31.0,13.0,0.0,30,1190,39,3,3,11,breakfast,mcdonalds
Breakfast,Sausage Biscuit with Egg (Regular Biscuit),5.7 oz (163 g),510,33.0,14.0,0.0,250,1170,36,2,2,18,breakfast,mcdonalds
Breakfast,Sausage Biscuit with Egg (Large Biscuit),6.2 oz (177 g),570,37.0,15.0,0.0,250,1280,42,3,3,18,breakfast,mcdonalds
